# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:00|1|00:00:00] - [00:05:00|31|4.3%] - random perturbation of 7.290446e-05
[00:00:00|1|00:00:00] - [00:11:00|67|9.3%] - random perturbation of 1.933600e-04
[00:00:06|1|00:00:06] - [01:25:00|511|71.0%] - random perturbation of 4.870298e-04
[00:00:06|1|00:00:06] - [01:34:00|565|78.5%] - random perturbation of -2.617855e-03
[00:00:07|1|00:00:07] - [01:52:00|673|93.5%] - random perturbation of -2.369615e-04
[00:00:08|1|00:00:07] - [01:54:00|685|95.1%] - random perturbation of -5.985885e-04
[00:00:08|1|00:00:08] - [01:59:50|720|100.0%] - checkpoint saved
[00:00:08|1|00:00:08] - [01:59:50|720|100.0%] - episode 1: Jtot=32915.351, TTS=442.071, fails=0(0.0%)
[00:00:12|2|00:00:03] - [00:36:00|217|30.1%] - random perturbation of 6.120533e-05
[00:00:16|2|00:00:07] - [01:00:00|361|50.1%] - random perturbation of -3.262362e-04
[00:00:16|2|00:00:07] - [01:01:00|367|51.0%] - random perturbation of -1.106018e-03
[00:00:17|2|00:00:08] - [01:11:00|427|59.3%] - random perturbation of 4.747428e-04
[00:00:18|2|00:00:09] - [01:22:00|493|68.5%] - random perturbation of 2.806009e-04
[00:00:19|2|00:00:10] - [01:34:00|565|78.5%] - random perturbation of 1.826097e-03
[00:00:20|2|00:00:12] - [01:52:00|673|93.5%] - random perturbation of -6.152785e-04
[00:00:20|2|00:00:12] - [01:53:00|679|94.3%] - random perturbation of 8.221787e-04
[00:00:20|2|00:00:12] - [01:54:00|685|95.1%] - random perturbation of -6.130550e-04
[00:00:21|2|00:00:12] - [01:56:00|697|96.8%] - random perturbation of -6.176260e-04
[00:00:21|2|00:00:12] - [01:59:50|720|100.0%] - episode 2: Jtot=16903.850, TTS=449.775, fails=0(0.0%)
[00:00:22|3|00:00:01] - [00:07:00|43|6.0%] - random perturbation of 1.811741e-03
[00:00:25|3|00:00:04] - [00:27:00|163|22.6%] - random perturbation of -3.273387e-04
[00:00:27|3|00:00:05] - [00:36:00|217|30.1%] - random perturbation of -1.232983e-03
[00:00:28|3|00:00:06] - [00:44:00|265|36.8%] - random perturbation of -5.707175e-04
[00:00:31|3|00:00:10] - [01:13:00|439|61.0%] - random perturbation of 1.622474e-04
[00:00:32|3|00:00:10] - [01:15:00|451|62.6%] - random perturbation of 9.767790e-05
[00:00:32|3|00:00:10] - [01:21:00|487|67.6%] - random perturbation of -3.030962e-04
[00:00:33|3|00:00:12] - [01:35:00|571|79.3%] - random perturbation of -2.900068e-04
[00:00:34|3|00:00:13] - [01:50:00|661|91.8%] - random perturbation of 8.425968e-04
[00:00:35|3|00:00:13] - [01:59:00|715|99.3%] - random perturbation of 5.063461e-04
[00:00:35|3|00:00:14] - [01:59:50|720|100.0%] - checkpoint saved
[00:00:35|3|00:00:14] - [01:59:50|720|100.0%] - episode 3: Jtot=1306.735, TTS=429.562, fails=0(0.0%)
[00:00:36|4|00:00:00] - [00:07:00|43|6.0%] - random perturbation of -9.111559e-04
[00:00:36|4|00:00:00] - [00:08:00|49|6.8%] - random perturbation of -7.625403e-05
[00:00:37|4|00:00:01] - [00:13:00|79|11.0%] - random perturbation of 1.405540e-03
[00:00:37|4|00:00:01] - [00:15:00|91|12.6%] - random perturbation of 1.005428e-03
[00:00:39|4|00:00:03] - [00:32:00|193|26.8%] - random perturbation of 3.081253e-04
[00:00:46|4|00:00:10] - [01:25:00|511|71.0%] - random perturbation of 4.969893e-04
[00:00:47|4|00:00:11] - [01:41:00|607|84.3%] - random perturbation of -7.119289e-05
[00:00:48|4|00:00:12] - [01:58:00|709|98.5%] - random perturbation of 5.999967e-04
[00:00:48|4|00:00:12] - [01:59:50|720|100.0%] - episode 4: Jtot=26779.383, TTS=450.220, fails=0(0.0%)
[00:00:48|5|00:00:00] - [00:00:00|1|0.1%] - random perturbation of 2.103557e-03
[00:00:50|5|00:00:01] - [00:20:00|121|16.8%] - random perturbation of 6.859418e-05
[00:00:50|5|00:00:02] - [00:21:00|127|17.6%] - random perturbation of 8.800994e-04
[00:00:53|5|00:00:04] - [00:32:00|193|26.8%] - random perturbation of -1.305933e-04
[00:00:53|5|00:00:04] - [00:36:00|217|30.1%] - random perturbation of -1.711049e-03
[00:00:57|5|00:00:08] - [00:57:00|343|47.6%] - random perturbation of 7.562761e-04
[00:00:58|5|00:00:09] - [01:11:00|427|59.3%] - random perturbation of -2.519265e-04
[00:01:00|5|00:00:11] - [01:35:00|571|79.3%] - random perturbation of -7.041784e-04
[00:01:01|5|00:00:12] - [01:43:00|619|86.0%] - random perturbation of -3.930579e-04
[00:01:02|5|00:00:13] - [01:59:50|720|100.0%] - checkpoint saved
[00:01:02|5|00:00:13] - [01:59:50|720|100.0%] - episode 5: Jtot=1972.784, TTS=424.408, fails=0(0.0%)
[00:01:03|6|00:00:00] - [00:04:00|25|3.5%] - random perturbation of -2.000437e-03
[00:01:03|6|00:00:00] - [00:08:00|49|6.8%] - random perturbation of 1.375434e-03
[00:01:04|6|00:00:02] - [00:23:00|139|19.3%] - random perturbation of 8.405500e-04
[00:01:05|6|00:00:02] - [00:25:00|151|21.0%] - random perturbation of 9.413340e-04
[00:01:10|6|00:00:07] - [00:56:00|337|46.8%] - random perturbation of 1.879757e-05
[00:01:10|6|00:00:07] - [01:01:00|367|51.0%] - random perturbation of 2.019928e-04
[00:01:13|6|00:00:10] - [01:28:00|529|73.5%] - random perturbation of 3.303871e-04
[00:01:13|6|00:00:11] - [01:37:00|583|81.0%] - random perturbation of 4.876191e-04
[00:01:15|6|00:00:12] - [01:56:00|697|96.8%] - random perturbation of 1.115830e-04
