# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:01:11|1|00:01:11] - [01:59:50|720|100.0%] - checkpoint saved
[00:01:11|1|00:01:11] - [01:59:50|720|100.0%] - episode 1: Jtot=27328.028, TTS=442.966, fails=0(0.0%)
[00:02:37|2|00:01:10] - [01:59:50|720|100.0%] - episode 2: Jtot=21241.933, TTS=437.339, fails=0(0.0%)
[00:03:53|3|00:01:15] - [01:59:50|720|100.0%] - checkpoint saved
[00:03:53|3|00:01:15] - [01:59:50|720|100.0%] - episode 3: Jtot=20936.607, TTS=448.821, fails=0(0.0%)
[00:05:11|4|00:01:18] - [01:59:50|720|100.0%] - episode 4: Jtot=9146.689, TTS=437.559, fails=0(0.0%)
[00:06:23|5|00:01:11] - [01:59:50|720|100.0%] - checkpoint saved
[00:06:23|5|00:01:11] - [01:59:50|720|100.0%] - episode 5: Jtot=15487.793, TTS=429.945, fails=0(0.0%)
[00:07:37|6|00:01:13] - [01:59:50|720|100.0%] - episode 6: Jtot=18029.494, TTS=449.113, fails=0(0.0%)
[00:08:50|7|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:08:50|7|00:01:12] - [01:59:50|720|100.0%] - episode 7: Jtot=9748.783, TTS=434.482, fails=0(0.0%)
[00:10:01|8|00:01:11] - [01:59:50|720|100.0%] - episode 8: Jtot=18153.382, TTS=444.551, fails=0(0.0%)
[00:11:15|9|00:01:14] - [01:59:50|720|100.0%] - checkpoint saved
[00:11:15|9|00:01:14] - [01:59:50|720|100.0%] - episode 9: Jtot=8629.135, TTS=431.857, fails=0(0.0%)
[00:12:27|10|00:01:11] - [01:59:50|720|100.0%] - episode 10: Jtot=24166.096, TTS=442.947, fails=0(0.0%)
[00:13:38|11|00:01:11] - [01:59:50|720|100.0%] - checkpoint saved
[00:13:38|11|00:01:11] - [01:59:50|720|100.0%] - episode 11: Jtot=20488.723, TTS=443.795, fails=0(0.0%)
[00:14:50|12|00:01:12] - [01:59:50|720|100.0%] - episode 12: Jtot=11175.979, TTS=437.666, fails=0(0.0%)
[00:16:03|13|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:16:03|13|00:01:12] - [01:59:50|720|100.0%] - episode 13: Jtot=12688.961, TTS=428.059, fails=0(0.0%)
[00:17:14|14|00:01:11] - [01:59:50|720|100.0%] - episode 14: Jtot=23711.213, TTS=446.843, fails=0(0.0%)
[00:18:26|15|00:01:11] - [01:59:50|720|100.0%] - checkpoint saved
[00:18:26|15|00:01:11] - [01:59:50|720|100.0%] - episode 15: Jtot=12799.235, TTS=428.806, fails=0(0.0%)
[00:19:38|16|00:01:11] - [01:59:50|720|100.0%] - episode 16: Jtot=22984.133, TTS=447.294, fails=0(0.0%)
[00:20:50|17|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:20:50|17|00:01:12] - [01:59:50|720|100.0%] - episode 17: Jtot=13296.664, TTS=442.995, fails=0(0.0%)
[00:22:05|18|00:01:14] - [01:59:50|720|100.0%] - episode 18: Jtot=8945.284, TTS=440.969, fails=0(0.0%)
[00:23:18|19|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:23:18|19|00:01:12] - [01:59:50|720|100.0%] - episode 19: Jtot=12601.971, TTS=426.424, fails=0(0.0%)
[00:24:30|20|00:01:11] - [01:59:50|720|100.0%] - episode 20: Jtot=23133.313, TTS=443.145, fails=0(0.0%)
