# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:01:25|1|00:01:25] - [01:59:50|720|100.0%] - checkpoint saved
[00:01:25|1|00:01:25] - [01:59:50|720|100.0%] - episode 1: Jtot=21719.626, TTS=375.606, fails=0(0.0%)
[00:03:10|2|00:01:10] - [01:59:50|720|100.0%] - episode 2: Jtot=93596.858, TTS=431.922, fails=0(0.0%)
[00:04:22|3|00:01:11] - [01:59:50|720|100.0%] - checkpoint saved
[00:04:22|3|00:01:11] - [01:59:50|720|100.0%] - episode 3: Jtot=21529.032, TTS=403.603, fails=0(0.0%)
[00:05:32|4|00:01:10] - [01:59:50|720|100.0%] - episode 4: Jtot=43115.416, TTS=412.217, fails=0(0.0%)
[00:06:45|5|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:06:45|5|00:01:12] - [01:59:50|720|100.0%] - episode 5: Jtot=32627.575, TTS=385.849, fails=0(0.0%)
[00:07:55|6|00:01:10] - [01:59:50|720|100.0%] - episode 6: Jtot=85166.864, TTS=414.507, fails=0(0.0%)
[00:09:04|7|00:01:08] - [01:59:50|720|100.0%] - checkpoint saved
[00:09:04|7|00:01:08] - [01:59:50|720|100.0%] - episode 7: Jtot=92619.354, TTS=423.410, fails=0(0.0%)
[00:10:16|8|00:01:11] - [01:59:50|720|100.0%] - episode 8: Jtot=8844.526, TTS=374.385, fails=0(0.0%)
[00:11:29|9|00:01:13] - [01:59:50|720|100.0%] - checkpoint saved
[00:11:29|9|00:01:13] - [01:59:50|720|100.0%] - episode 9: Jtot=7914.036, TTS=370.826, fails=0(0.0%)
[00:12:41|10|00:01:11] - [01:59:50|720|100.0%] - episode 10: Jtot=35115.359, TTS=413.925, fails=0(0.0%)
[00:13:51|11|00:01:10] - [01:59:50|720|100.0%] - checkpoint saved
[00:13:51|11|00:01:10] - [01:59:50|720|100.0%] - episode 11: Jtot=40303.680, TTS=410.071, fails=0(0.0%)
[00:15:03|12|00:01:11] - [01:59:50|720|100.0%] - episode 12: Jtot=73775.382, TTS=426.902, fails=0(0.0%)
[00:16:16|13|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:16:16|13|00:01:12] - [01:59:50|720|100.0%] - episode 13: Jtot=54816.787, TTS=413.305, fails=0(0.0%)
[00:17:32|14|00:01:13] - [01:59:50|720|100.0%] - episode 14: Jtot=33336.806, TTS=382.945, fails=0(0.0%)
[00:18:47|15|00:01:10] - [01:59:50|720|100.0%] - checkpoint saved
[00:18:47|15|00:01:10] - [01:59:50|720|100.0%] - episode 15: Jtot=9818.589, TTS=369.440, fails=0(0.0%)
[00:20:01|16|00:01:14] - [01:59:50|720|100.0%] - episode 16: Jtot=49010.948, TTS=435.985, fails=0(0.0%)
[00:21:12|17|00:01:10] - [01:59:50|720|100.0%] - checkpoint saved
[00:21:12|17|00:01:10] - [01:59:50|720|100.0%] - episode 17: Jtot=24483.856, TTS=409.672, fails=0(0.0%)
[00:22:22|18|00:01:09] - [01:59:50|720|100.0%] - episode 18: Jtot=71452.111, TTS=418.309, fails=0(0.0%)
[00:23:33|19|00:01:10] - [01:59:50|720|100.0%] - checkpoint saved
[00:23:33|19|00:01:10] - [01:59:50|720|100.0%] - episode 19: Jtot=52258.960, TTS=429.756, fails=0(0.0%)
[00:24:45|20|00:01:12] - [01:59:50|720|100.0%] - episode 20: Jtot=12823.221, TTS=386.516, fails=0(0.0%)
[00:25:56|21|00:01:10] - [01:59:50|720|100.0%] - checkpoint saved
[00:25:56|21|00:01:10] - [01:59:50|720|100.0%] - episode 21: Jtot=36184.967, TTS=414.684, fails=0(0.0%)
[00:27:08|22|00:01:12] - [01:59:50|720|100.0%] - episode 22: Jtot=24600.722, TTS=411.737, fails=0(0.0%)
[00:28:19|23|00:01:10] - [01:59:50|720|100.0%] - checkpoint saved
[00:28:19|23|00:01:10] - [01:59:50|720|100.0%] - episode 23: Jtot=47699.863, TTS=415.873, fails=0(0.0%)
[00:29:30|24|00:01:11] - [01:59:50|720|100.0%] - episode 24: Jtot=64846.927, TTS=417.637, fails=0(0.0%)
[00:30:48|25|00:01:16] - [01:59:50|720|100.0%] - checkpoint saved
[00:30:48|25|00:01:16] - [01:59:50|720|100.0%] - episode 25: Jtot=74147.807, TTS=413.491, fails=0(0.0%)
[00:32:03|26|00:01:11] - [01:59:50|720|100.0%] - episode 26: Jtot=40852.234, TTS=414.332, fails=0(0.0%)
[00:33:13|27|00:01:09] - [01:59:50|720|100.0%] - checkpoint saved
[00:33:13|27|00:01:09] - [01:59:50|720|100.0%] - episode 27: Jtot=35093.033, TTS=381.521, fails=0(0.0%)
[00:34:24|28|00:01:11] - [01:59:50|720|100.0%] - episode 28: Jtot=37817.129, TTS=391.643, fails=0(0.0%)
[00:35:38|29|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:35:38|29|00:01:12] - [01:59:50|720|100.0%] - episode 29: Jtot=43992.652, TTS=388.442, fails=0(0.0%)
[00:36:48|30|00:01:10] - [01:59:50|720|100.0%] - episode 30: Jtot=76226.783, TTS=420.177, fails=0(0.0%)
[00:38:01|31|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:38:01|31|00:01:12] - [01:59:50|720|100.0%] - episode 31: Jtot=27474.050, TTS=381.727, fails=0(0.0%)
[00:39:13|32|00:01:11] - [01:59:50|720|100.0%] - episode 32: Jtot=8303.483, TTS=369.182, fails=0(0.0%)
[00:40:27|33|00:01:13] - [01:59:50|720|100.0%] - checkpoint saved
[00:40:27|33|00:01:13] - [01:59:50|720|100.0%] - episode 33: Jtot=27300.723, TTS=413.237, fails=0(0.0%)
[00:41:42|34|00:01:15] - [01:59:50|720|100.0%] - episode 34: Jtot=37255.794, TTS=388.434, fails=0(0.0%)
[00:42:56|35|00:01:13] - [01:59:50|720|100.0%] - checkpoint saved
[00:42:56|35|00:01:13] - [01:59:50|720|100.0%] - episode 35: Jtot=31654.938, TTS=402.181, fails=0(0.0%)
[00:44:08|36|00:01:12] - [01:59:50|720|100.0%] - episode 36: Jtot=34470.128, TTS=386.885, fails=0(0.0%)
[00:45:27|37|00:01:17] - [01:59:50|720|100.0%] - checkpoint saved
[00:45:27|37|00:01:17] - [01:59:50|720|100.0%] - episode 37: Jtot=47958.651, TTS=383.023, fails=0(0.0%)
[00:46:38|38|00:01:10] - [01:59:50|720|100.0%] - episode 38: Jtot=65193.092, TTS=415.869, fails=0(0.0%)
[00:47:55|39|00:01:16] - [01:59:50|720|100.0%] - checkpoint saved
[00:47:55|39|00:01:16] - [01:59:50|720|100.0%] - episode 39: Jtot=5760.080, TTS=355.326, fails=0(0.0%)
[00:49:07|40|00:01:10] - [01:59:50|720|100.0%] - episode 40: Jtot=15284.040, TTS=379.709, fails=0(0.0%)
[00:50:21|41|00:01:11] - [01:59:50|720|100.0%] - checkpoint saved
[00:50:21|41|00:01:11] - [01:59:50|720|100.0%] - episode 41: Jtot=29197.575, TTS=392.966, fails=0(0.0%)
[00:51:32|42|00:01:11] - [01:59:50|720|100.0%] - episode 42: Jtot=73695.637, TTS=423.052, fails=0(0.0%)
[00:52:48|43|00:01:15] - [01:59:50|720|100.0%] - checkpoint saved
[00:52:48|43|00:01:15] - [01:59:50|720|100.0%] - episode 43: Jtot=10961.599, TTS=372.120, fails=0(0.0%)
[00:54:04|44|00:01:15] - [01:59:50|720|100.0%] - episode 44: Jtot=40123.201, TTS=402.147, fails=0(0.0%)
[00:55:18|45|00:01:13] - [01:59:50|720|100.0%] - checkpoint saved
[00:55:18|45|00:01:13] - [01:59:50|720|100.0%] - episode 45: Jtot=10750.837, TTS=361.709, fails=0(0.0%)
[00:56:29|46|00:01:11] - [01:59:50|720|100.0%] - episode 46: Jtot=5059.873, TTS=365.391, fails=0(0.0%)
[00:57:42|47|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:57:42|47|00:01:12] - [01:59:50|720|100.0%] - episode 47: Jtot=13952.345, TTS=382.995, fails=0(0.0%)
[00:58:52|48|00:01:10] - [01:59:50|720|100.0%] - episode 48: Jtot=73166.756, TTS=429.084, fails=0(0.0%)
[01:00:05|49|00:01:12] - [01:59:50|720|100.0%] - checkpoint saved
[01:00:05|49|00:01:12] - [01:59:50|720|100.0%] - episode 49: Jtot=43936.972, TTS=407.926, fails=0(0.0%)
[01:01:16|50|00:01:11] - [01:59:50|720|100.0%] - episode 50: Jtot=50501.547, TTS=408.769, fails=0(0.0%)
