# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:00|1|00:00:00] - [00:01:00|7|0.8%]
[00:00:02|1|00:00:02] - [00:02:00|13|1.4%]
[00:00:04|1|00:00:04] - [00:03:00|19|2.1%]
[00:00:06|1|00:00:06] - [00:04:00|25|2.8%]
[00:00:08|1|00:00:08] - [00:05:00|31|3.4%]
[00:00:10|1|00:00:10] - [00:06:00|37|4.1%]
[00:00:10|1|00:00:10] - [00:07:00|43|4.8%]
[00:00:11|1|00:00:11] - [00:08:00|49|5.4%]
[00:00:12|1|00:00:12] - [00:09:00|55|6.1%]
[00:00:14|1|00:00:14] - [00:10:00|61|6.8%]
[00:00:14|1|00:00:14] - [00:11:00|67|7.4%]
[00:00:15|1|00:00:15] - [00:12:00|73|8.1%]
[00:00:16|1|00:00:16] - [00:13:00|79|8.8%]
[00:00:17|1|00:00:17] - [00:14:00|85|9.4%]
[00:00:18|1|00:00:18] - [00:15:00|91|10.1%]
[00:00:18|1|00:00:18] - [00:16:00|97|10.8%]
[00:00:20|1|00:00:20] - [00:17:00|103|11.4%]
[00:00:23|1|00:00:23] - [00:18:00|109|12.1%]
[00:00:24|1|00:00:24] - [00:19:00|115|12.8%]
[00:00:25|1|00:00:25] - [00:20:00|121|13.4%]
[00:00:25|1|00:00:25] - [00:21:00|127|14.1%]
[00:00:26|1|00:00:26] - [00:22:00|133|14.8%]
[00:00:26|1|00:00:26] - [00:23:00|139|15.4%]
[00:00:27|1|00:00:27] - [00:24:00|145|16.1%]
[00:00:28|1|00:00:28] - [00:25:00|151|16.8%]
[00:00:31|1|00:00:31] - [00:26:00|157|17.4%]
[00:00:31|1|00:00:31] - [00:27:00|163|18.1%]
[00:00:35|1|00:00:35] - [00:28:00|169|18.8%]
[00:00:36|1|00:00:36] - [00:29:00|175|19.4%]
[00:00:38|1|00:00:38] - [00:30:00|181|20.1%]
[00:00:40|1|00:00:40] - [00:31:00|187|20.8%]
[00:00:44|1|00:00:44] - [00:32:00|193|21.4%]
[00:00:44|1|00:00:44] - [00:33:00|199|22.1%]
[00:00:46|1|00:00:46] - [00:34:00|205|22.8%]
[00:00:49|1|00:00:49] - [00:35:00|211|23.4%]
[00:00:51|1|00:00:51] - [00:36:00|217|24.1%]
[00:00:52|1|00:00:52] - [00:37:00|223|24.8%]
[00:00:54|1|00:00:54] - [00:38:00|229|25.4%]
[00:00:55|1|00:00:55] - [00:39:00|235|26.1%]
[00:00:55|1|00:00:55] - [00:40:00|241|26.8%]
[00:00:57|1|00:00:57] - [00:41:00|247|27.4%]
[00:00:58|1|00:00:58] - [00:42:00|253|28.1%]
[00:01:05|1|00:01:05] - [00:43:00|259|28.8%] - V: Maximum_Iterations_Exceeded. 
[00:01:07|1|00:01:07] - [00:44:00|265|29.4%]
[00:01:08|1|00:01:08] - [00:45:00|271|30.1%]
[00:01:08|1|00:01:08] - [00:46:00|277|30.8%]
[00:01:10|1|00:01:10] - [00:47:00|283|31.4%]
[00:01:10|1|00:01:10] - [00:48:00|289|32.1%]
[00:01:11|1|00:01:11] - [00:49:00|295|32.8%]
[00:01:12|1|00:01:12] - [00:50:00|301|33.4%]
[00:01:13|1|00:01:13] - [00:51:00|307|34.1%]
[00:01:13|1|00:01:13] - [00:52:00|313|34.8%]
[00:01:14|1|00:01:14] - [00:53:00|319|35.4%]
[00:01:14|1|00:01:14] - [00:54:00|325|36.1%]
[00:01:15|1|00:01:15] - [00:55:00|331|36.8%]
[00:01:15|1|00:01:15] - [00:56:00|337|37.4%]
[00:01:16|1|00:01:16] - [00:57:00|343|38.1%]
[00:01:16|1|00:01:16] - [00:58:00|349|38.8%]
[00:01:16|1|00:01:16] - [00:59:00|355|39.4%]
[00:01:16|1|00:01:16] - [01:00:00|361|40.1%]
[00:01:17|1|00:01:17] - [01:01:00|367|40.8%]
[00:01:17|1|00:01:17] - [01:02:00|373|41.4%]
[00:01:17|1|00:01:17] - [01:03:00|379|42.1%]
[00:01:17|1|00:01:17] - [01:04:00|385|42.8%]
[00:01:17|1|00:01:17] - [01:05:00|391|43.4%]
[00:01:18|1|00:01:18] - [01:06:00|397|44.1%]
[00:01:18|1|00:01:18] - [01:07:00|403|44.8%]
[00:01:18|1|00:01:18] - [01:08:00|409|45.4%]
[00:01:19|1|00:01:19] - [01:09:00|415|46.1%]
[00:01:19|1|00:01:19] - [01:10:00|421|46.8%]
[00:01:20|1|00:01:20] - [01:11:00|427|47.4%]
[00:01:20|1|00:01:20] - [01:12:00|433|48.1%]
[00:01:22|1|00:01:22] - [01:13:00|439|48.8%]
[00:01:22|1|00:01:22] - [01:14:00|445|49.4%]
[00:01:23|1|00:01:23] - [01:15:00|451|50.1%]
[00:01:23|1|00:01:23] - [01:16:00|457|50.8%]
[00:01:24|1|00:01:24] - [01:17:00|463|51.4%]
[00:01:26|1|00:01:26] - [01:18:00|469|52.1%]
[00:01:28|1|00:01:28] - [01:19:00|475|52.8%]
[00:01:31|1|00:01:31] - [01:20:00|481|53.4%]
[00:01:39|1|00:01:39] - [01:21:00|487|54.1%] - V: Maximum_Iterations_Exceeded. 
[00:01:40|1|00:01:40] - [01:22:00|493|54.8%]
[00:01:40|1|00:01:40] - [01:23:00|499|55.4%]
[00:01:42|1|00:01:42] - [01:24:00|505|56.1%]
[00:01:43|1|00:01:43] - [01:25:00|511|56.8%]
[00:01:45|1|00:01:45] - [01:26:00|517|57.4%]
[00:01:47|1|00:01:47] - [01:27:00|523|58.1%]
[00:01:48|1|00:01:48] - [01:28:00|529|58.8%]
[00:01:49|1|00:01:49] - [01:29:00|535|59.4%]
[00:02:00|1|00:02:00] - [01:30:00|541|60.1%] - Q: Maximum_Iterations_Exceeded.
[00:02:02|1|00:02:02] - [01:31:00|547|60.8%]
[00:02:12|1|00:02:12] - [01:32:00|553|61.4%] - Q: Maximum_Iterations_Exceeded.
[00:02:14|1|00:02:14] - [01:33:00|559|62.1%]
[00:02:14|1|00:02:14] - [01:34:00|565|62.8%]
[00:02:16|1|00:02:16] - [01:35:00|571|63.4%]
[00:02:17|1|00:02:17] - [01:36:00|577|64.1%]
[00:02:18|1|00:02:18] - [01:37:00|583|64.8%]
[00:02:22|1|00:02:22] - [01:38:00|589|65.4%]
