# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:12|1|00:00:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:00:12|1|00:00:12] - [01:59:50|720|100.0%] - episode 1: Jtot=33293.204, TTS=442.937, fails=0(0.0%)
[00:00:14|2|00:00:02] - [00:23:50|144|20.0%] - RL update 1 with 139 samples: rho_crit=22.2419; v_free=132.405; v_free_tracking=132.6; weight_V=[0.999985 1.0012 0.999981 0.99989 0.99992 1.0008 1.00084 1.00073]; weight_L=[0.998944 0.998809 0.999627 0.987124 0.989062 0.994499]; weight_T=[0.999897 0.999934 1 0.999473 0.999815 0.999762]; weight_rate_var=0.14; weight_slack_w_max=[10.0115 10.0117 10.012 10.0123 10.0127 10.0131 10.0136 10.0142 10.0149 10.0156 10.0164 10.0172 10.0181 10.0191 10.0203 10.0214 10.0226 10.0238 10.0249 10.0261 10.0273 10.0285 10.0298 10.0312 10.0325]; 
[00:00:17|2|00:00:04] - [00:47:50|288|40.0%] - RL update 2 with 163 samples: rho_crit=20.0177; v_free=131.952; v_free_tracking=132.6; weight_V=[0.999972 1.00327 1.00004 0.999885 1.00002 1.00193 1.00191 1.00163]; weight_L=[0.998056 0.99788 1.0004 0.977712 0.986256 1.00169]; weight_T=[0.999813 0.999877 1.00009 0.999151 1.00036 1.00011]; weight_rate_var=0.24; weight_slack_w_max=[10.0375 10.038 10.0386 10.0393 10.04 10.0407 10.0417 10.0428 10.0442 10.0457 10.0472 10.0487 10.0503 10.0524 10.0547 10.0571 10.0595 10.0619 10.0641 10.0666 10.0691 10.0716 10.0742 10.0769 10.0796]; 
[00:00:19|2|00:00:07] - [01:11:50|432|60.0%] - RL update 3 with 187 samples: rho_crit=18.0159; v_free=131.562; v_free_tracking=132.599; weight_V=[0.999938 1.00486 0.999877 0.999556 0.999775 1.00278 1.00278 1.00231]; weight_L=[0.995015 0.995296 0.999531 0.951919 0.965768 0.991325]; weight_T=[0.999586 0.999726 1.00009 0.998142 1.00008 0.999705]; weight_rate_var=0.34; weight_slack_w_max=[10.0602 10.0609 10.0618 10.0628 10.0638 10.0647 10.0661 10.0678 10.0697 10.0718 10.074 10.0761 10.0784 10.0814 10.0848 10.0882 10.0917 10.0951 10.0983 10.1019 10.1055 10.1092 10.1129 10.1168 10.1207]; 
[00:00:21|2|00:00:09] - [01:35:50|576|80.0%] - RL update 4 with 211 samples: rho_crit=16.2144; v_free=131.216; v_free_tracking=132.599; weight_V=[0.999907 1.00627 0.999733 0.999263 0.999555 1.00352 1.00355 1.00291]; weight_L=[0.992318 0.993004 0.998756 0.929023 0.947553 0.982084]; weight_T=[0.999384 0.999592 1.00008 0.997246 0.99983 0.999341]; weight_rate_var=0.44; weight_slack_w_max=[10.0803 10.0813 10.0823 10.0836 10.0848 10.086 10.0877 10.0899 10.0923 10.095 10.0977 10.1004 10.1033 10.1071 10.1114 10.1158 10.1202 10.1245 10.1286 10.1331 10.1378 10.1425 10.1473 10.1522 10.1571]; 
[00:00:24|2|00:00:11] - [01:59:50|720|100.0%] - RL update 5 with 235 samples: rho_crit=14.5929; v_free=130.906; v_free_tracking=132.598; weight_V=[0.999878 1.00753 0.999604 0.999 0.999357 1.00419 1.00424 1.00345]; weight_L=[0.989896 0.990947 0.99806 0.908465 0.931198 0.973788]; weight_T=[0.999204 0.999471 1.00008 0.996442 0.999607 0.999014]; weight_rate_var=0.54; weight_slack_w_max=[10.0983 10.0995 10.1008 10.1023 10.1038 10.1052 10.1072 10.1098 10.1127 10.1159 10.119 10.1222 10.1256 10.1302 10.1353 10.1406 10.1458 10.151 10.1558 10.1612 10.1667 10.1723 10.1781 10.184 10.1898]; 
[00:00:24|2|00:00:11] - [01:59:50|720|100.0%] - episode 2: Jtot=32853.520, TTS=437.266, fails=0(0.0%)
[00:00:26|3|00:00:02] - [00:23:50|144|20.0%] - RL update 6 with 259 samples: rho_crit=13.1336; v_free=130.624; v_free_tracking=132.598; weight_V=[0.999853 1.01066 0.999592 0.998867 0.999305 1.00567 1.00571 1.00476]; weight_L=[0.987793 0.989091 0.997591 0.89863 0.924432 0.979674]; weight_T=[0.999059 0.999363 1.0001 0.996415 1.00001 0.999605]; weight_rate_var=0.64; weight_slack_w_max=[10.1537 10.1572 10.1609 10.165 10.1692 10.1733 10.1781 10.1837 10.1895 10.1959 10.2023 10.2087 10.2153 10.2234 10.2322 10.2411 10.2501 10.259 10.2676 10.2769 10.2862 10.2958 10.3055 10.3154 10.3253]; 
[00:00:30|3|00:00:06] - [00:47:50|288|40.0%] - RL update 7 with 283 samples: rho_crit=11.8203; v_free=130.297; v_free_tracking=132.603; weight_V=[0.999829 1.04223 1.00006 0.999253 0.999976 1.0102 1.01002 1.0085]; weight_L=[0.988833 0.988545 1.00033 0.966321 1.00726 1.07964]; weight_T=[0.99931 0.999444 1.00031 1.00051 1.00539 1.00479]; weight_rate_var=0.74; weight_slack_w_max=[11.169 11.1729 11.177 11.1815 11.1861 11.1906 11.1959 11.202 11.2085 11.2154 11.2225 11.2296 11.2369 11.2458 11.2554 11.2652 11.2751 11.2849 11.2943 11.3045 11.3149 11.3253 11.336 11.3469 11.3578]; 
