# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:01|1|00:00:01] - [00:09:00|55|7.6%] - random perturbation of 1.580089e-03
[00:00:02|1|00:00:02] - [00:18:00|109|15.1%] - random perturbation of 8.216988e-04
[00:00:03|1|00:00:03] - [00:19:00|115|16.0%] - random perturbation of -8.494884e-04
[00:00:05|1|00:00:05] - [00:33:00|199|27.6%] - random perturbation of 1.274763e-03
[00:00:05|1|00:00:05] - [00:37:00|223|31.0%] - random perturbation of 3.294446e-04
[00:00:10|1|00:00:10] - [00:50:00|301|41.8%] - random perturbation of -1.081704e-04
[00:00:11|1|00:00:11] - [00:55:00|331|46.0%] - random perturbation of -1.344400e-03
[00:00:12|1|00:00:12] - [00:59:00|355|49.3%] - random perturbation of 1.835179e-04
[00:00:13|1|00:00:13] - [01:09:00|415|57.6%] - random perturbation of -8.908203e-04
[00:00:14|1|00:00:14] - [01:14:00|445|61.8%] - random perturbation of -6.558834e-04
[00:00:15|1|00:00:15] - [01:20:00|481|66.8%] - random perturbation of 1.221814e-03
[00:00:16|1|00:00:16] - [01:30:00|541|75.1%] - random perturbation of 1.622374e-04
[00:00:17|1|00:00:17] - [01:36:00|577|80.1%] - random perturbation of -2.774236e-03
[00:00:18|1|00:00:18] - [01:41:00|607|84.3%] - random perturbation of -2.975456e-04
[00:00:19|1|00:00:19] - [01:49:00|655|91.0%] - random perturbation of 4.812410e-04
[00:00:20|1|00:00:20] - [01:53:00|679|94.3%] - random perturbation of 3.131737e-04
[00:00:20|1|00:00:20] - [01:59:00|715|99.3%] - random perturbation of 1.014427e-03
[00:00:21|1|00:00:20] - [01:59:50|720|100.0%] - checkpoint saved
[00:00:21|1|00:00:20] - [01:59:50|720|100.0%] - episode 1: Jtot=32922.581, TTS=442.075, fails=0(0.0%)
[00:00:25|2|00:00:03] - [00:23:50|144|20.0%] - RL update 1 with 139 samples: rho_crit=23.4394; v_free=132.599; v_free_tracking=132.6; weight_V=[0.999999 1.00007 1 1 1 1.00006 1.00006 1.00006]; weight_L=[0.999993 0.999998 0.999945 0.999878 0.999602 0.999595]; weight_T=[1 0.999998 0.999998 0.999991 0.999972 0.999981]; weight_rate_var=0.14; weight_slack_w_max=[9.99994 9.99998 10 10.0001 10.0002 10.0002 10.0003 10.0004 10.0005 10.0006 10.0007 10.0007 10.0009 10.001 10.0011 10.0012 10.0013 10.0014 10.0016 10.0017 10.0019 10.002 10.0022 10.0024 10.0025]; 
[00:00:28|2|00:00:06] - [00:39:00|235|32.6%] - random perturbation of 1.530649e-03
[00:00:31|2|00:00:09] - [00:47:50|288|40.0%] - RL update 2 with 163 samples: rho_crit=23.408; v_free=132.596; v_free_tracking=132.6; weight_V=[0.999998 1.00012 1.00001 1.00001 1.00001 1.00011 1.00011 1.00012]; weight_L=[0.99999 1.00001 0.999887 0.999903 0.99923 0.999265]; weight_T=[1 0.999996 0.999997 0.999986 0.999942 0.999967]; weight_rate_var=0.24; weight_slack_w_max=[9.99946 9.99956 9.99967 9.99981 9.99996 10.0001 10.0003 10.0004 10.0006 10.0008 10.001 10.0012 10.0014 10.0017 10.0019 10.0022 10.0024 10.0027 10.003 10.0033 10.0036 10.0039 10.0042 10.0046 10.0049]; 
[00:00:35|2|00:00:13] - [01:11:50|432|60.0%] - RL update 3 with 187 samples: rho_crit=23.3806; v_free=132.593; v_free_tracking=132.6; weight_V=[0.999996 1.00017 1 1 1 1.00016 1.00016 1.00016]; weight_L=[0.999908 0.999978 0.999805 0.999386 0.99842 0.998514]; weight_T=[0.999995 0.999992 0.999994 0.999964 0.999895 0.999935]; weight_rate_var=0.34; weight_slack_w_max=[9.99905 9.9992 9.99935 9.99956 9.99978 10 10.0003 10.0005 10.0007 10.001 10.0013 10.0016 10.0019 10.0023 10.0026 10.003 10.0034 10.0038 10.0042 10.0046 10.005 10.0055 10.006 10.0065 10.0069]; 
[00:00:36|2|00:00:14] - [01:14:00|445|61.8%] - random perturbation of -6.666994e-05
[00:00:37|2|00:00:15] - [01:24:00|505|70.1%] - random perturbation of 1.402882e-03
[00:00:38|2|00:00:16] - [01:29:00|535|74.3%] - random perturbation of 4.155006e-04
[00:00:39|2|00:00:17] - [01:34:00|565|78.5%] - random perturbation of -1.038954e-03
[00:00:39|2|00:00:17] - [01:35:50|576|80.0%] - RL update 4 with 211 samples: rho_crit=23.3563; v_free=132.591; v_free_tracking=132.6; weight_V=[0.999993 1.00021 1 0.999993 0.999999 1.0002 1.00019 1.0002]; weight_L=[0.999834 0.999948 0.999731 0.998925 0.997699 0.997845]; weight_T=[0.999991 0.999988 0.999991 0.999944 0.999853 0.999906]; weight_rate_var=0.44; weight_slack_w_max=[9.99868 9.99887 9.99908 9.99934 9.99963 9.99992 10.0002 10.0005 10.0008 10.0012 10.0016 10.002 10.0024 10.0028 10.0033 10.0038 10.0042 10.0047 10.0052 10.0058 10.0063 10.0069 10.0075 10.0081 10.0087]; 
[00:00:39|2|00:00:17] - [01:37:00|583|81.0%] - random perturbation of 3.949313e-04
[00:00:40|2|00:00:18] - [01:41:00|607|84.3%] - random perturbation of 1.399370e-03
[00:00:40|2|00:00:18] - [01:45:00|631|87.6%] - random perturbation of 4.238888e-04
[00:00:40|2|00:00:18] - [01:46:00|637|88.5%] - random perturbation of 2.560026e-04
[00:00:41|2|00:00:19] - [01:49:00|655|91.0%] - random perturbation of 5.518075e-04
[00:00:42|2|00:00:20] - [01:59:50|720|100.0%] - RL update 5 with 235 samples: rho_crit=23.3344; v_free=132.589; v_free_tracking=132.6; weight_V=[0.99999 1.00025 0.999997 0.999988 0.999995 1.00023 1.00023 1.00024]; weight_L=[0.999769 0.999921 0.999665 0.998511 0.997052 0.997245]; weight_T=[0.999987 0.999984 0.999989 0.999926 0.999815 0.999881]; weight_rate_var=0.54; weight_slack_w_max=[9.99835 9.99858 9.99883 9.99914 9.99948 9.99984 10.0002 10.0006 10.0009 10.0014 10.0018 10.0023 10.0028 10.0033 10.0039 10.0044 10.005 10.0056 10.0062 10.0068 10.0075 10.0082 10.0089 10.0097 10.0104]; 
[00:00:42|2|00:00:20] - [01:59:50|720|100.0%] - episode 2: Jtot=28566.593, TTS=438.484, fails=0(0.0%)
[00:00:44|3|00:00:01] - [00:10:00|61|8.5%] - random perturbation of -1.487638e-03
[00:00:44|3|00:00:01] - [00:13:00|79|11.0%] - random perturbation of 1.289597e-03
