# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:12|1|00:00:12] - [01:59:50|720|100.0%] - checkpoint saved
[00:00:12|1|00:00:12] - [01:59:50|720|100.0%] - episode 1: Jtot=33288.810, TTS=442.937, fails=0(0.0%)
[00:00:15|2|00:00:02] - [00:23:50|144|20.0%] - RL update 1 with 139 samples: rho_crit=22.2418; v_free=132.405; v_free_tracking=132.6; weight_V=[0.999985 1.0012 0.999981 0.99989 0.99992 1.0008 1.00084 1.00073]; weight_L=[0.998944 0.998809 0.999627 0.987125 0.989063 0.994499]; weight_T=[0.999897 0.999934 1 0.999473 0.999815 0.999762]; weight_slack_w_max=[10.0115 10.0117 10.012 10.0123 10.0127 10.0131 10.0136 10.0142 10.0149 10.0156 10.0164 10.0172 10.0181 10.0191 10.0203 10.0214 10.0226 10.0238 10.0249 10.0261 10.0273 10.0285 10.0298 10.0312 10.0325]; 
[00:00:19|2|00:00:07] - [00:47:50|288|40.0%] - RL update 2 with 163 samples: rho_crit=20.0177; v_free=132.014; v_free_tracking=132.6; weight_V=[0.999972 1.00287 1.00001 0.999852 0.99997 1.00181 1.00181 1.00153]; weight_L=[0.997995 0.997849 1.00014 0.976693 0.985001 0.998381]; weight_T=[0.999803 0.999886 1.00006 0.999158 1.00021 0.999959]; weight_slack_w_max=[10.0269 10.0274 10.0279 10.0285 10.0292 10.03 10.0311 10.0323 10.0336 10.0352 10.0367 10.0383 10.04 10.042 10.0442 10.0465 10.0487 10.0509 10.053 10.0552 10.0574 10.0597 10.062 10.0643 10.0667]; 
[00:00:22|2|00:00:10] - [01:11:50|432|60.0%] - RL update 3 with 187 samples: rho_crit=18.0159; v_free=131.673; v_free_tracking=132.599; weight_V=[0.999956 1.00405 0.999906 0.999584 0.999744 1.00252 1.00259 1.00216]; weight_L=[0.995687 0.995731 0.99939 0.953806 0.96686 0.98847]; weight_T=[0.999608 0.999769 1.00006 0.998305 0.999953 0.999557]; weight_slack_w_max=[10.0403 10.041 10.0417 10.0427 10.0437 10.0448 10.0463 10.0481 10.05 10.0522 10.0544 10.0567 10.059 10.062 10.0651 10.0684 10.0715 10.0746 10.0775 10.0806 10.0837 10.0868 10.09 10.0932 10.0964]; 
[00:00:25|2|00:00:12] - [01:35:50|576|80.0%] - RL update 4 with 211 samples: rho_crit=16.2143; v_free=131.372; v_free_tracking=132.599; weight_V=[0.99994 1.00511 0.999809 0.999347 0.999543 1.00316 1.00329 1.00271]; weight_L=[0.993639 0.993852 0.998722 0.933486 0.950724 0.979628]; weight_T=[0.999434 0.999665 1.00005 0.997547 0.999723 0.999198]; weight_slack_w_max=[10.0522 10.0531 10.054 10.0552 10.0564 10.0578 10.0598 10.062 10.0645 10.0673 10.0701 10.0729 10.0759 10.0796 10.0837 10.0877 10.0917 10.0956 10.0992 10.103 10.1069 10.1108 10.1148 10.1189 10.1228]; 
[00:00:28|2|00:00:15] - [01:59:50|720|100.0%] - RL update 5 with 235 samples: rho_crit=14.5929; v_free=131.101; v_free_tracking=132.598; weight_V=[0.999925 1.00605 0.999722 0.999134 0.999362 1.00373 1.00391 1.0032]; weight_L=[0.9918 0.992166 0.998122 0.91524 0.936236 0.97169]; weight_T=[0.999278 0.999572 1.00005 0.996866 0.999517 0.998876]; weight_slack_w_max=[10.0629 10.0639 10.065 10.0664 10.0679 10.0696 10.0719 10.0746 10.0775 10.0808 10.0842 10.0875 10.0911 10.0955 10.1003 10.1051 10.1098 10.1144 10.1187 10.1232 10.1278 10.1324 10.1371 10.1419 10.1465]; 
[00:00:28|2|00:00:15] - [01:59:50|720|100.0%] - episode 2: Jtot=20309.423, TTS=434.839, fails=0(0.0%)
[00:00:31|3|00:00:03] - [00:23:50|144|20.0%] - RL update 6 with 259 samples: rho_crit=13.1336; v_free=130.874; v_free_tracking=132.598; weight_V=[0.999912 1.00753 0.999689 0.998986 0.99926 1.00462 1.00484 1.00399]; weight_L=[0.990189 0.99066 0.997761 0.902916 0.928472 0.97152]; weight_T=[0.99915 0.999492 1.00005 0.996594 0.999779 0.998978]; weight_slack_w_max=[10.0789 10.0804 10.0821 10.0841 10.0862 10.0886 10.0916 10.0952 10.099 10.1033 10.1076 10.1119 10.1165 10.1221 10.1281 10.1342 10.1401 10.1459 10.1514 10.1572 10.1631 10.169 10.175 10.1811 10.187]; 
[00:00:36|3|00:00:08] - [00:47:50|288|40.0%] - RL update 7 with 283 samples: rho_crit=14.4469; v_free=136.144; v_free_tracking=132.599; weight_V=[0.9999 1.01086 0.999719 0.998877 0.999168 1.00597 1.00628 1.00524]; weight_L=[0.988663 0.988919 0.997224 0.901366 0.934704 0.984351]; weight_T=[0.999061 0.99942 1.00006 0.996963 1.00074 0.999696]; weight_slack_w_max=[10.1554 10.1585 10.1619 10.1656 10.1695 10.1737 10.1787 10.1842 10.1902 10.1967 10.2032 10.2098 10.2166 10.2246 10.2332 10.2418 10.2502 10.2586 10.2665 10.275 10.2834 10.2918 10.3002 10.3086 10.3168]; 
