# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:15|1|00:00:15] - [01:59:50|720|100.0%] - checkpoint saved
[00:00:15|1|00:00:15] - [01:59:50|720|100.0%] - episode 1: Jtot=96391.742, TTS=599.467, fails=0(0.0%)
[00:00:18|2|00:00:02] - [00:23:50|144|20.0%] - RL update 1 with 139 samples: rho_crit=23.4391; v_free=132.598; v_free_tracking=132.6; weight_V=[1.00038 1.00538 1.00012 1.0001 1.00015 1.00129 1.00124 1.00114]; weight_L=[0.999466 0.99945 0.999773 0.996433 0.998199 1.00358]; weight_T=[0.999959 0.999973 1 0.999844 1.00001 1.00019]; weight_rate_var=0.14; weight_slack_w_max=[2.18629 2.19033 2.1944 2.19853 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2]; 
[00:00:21|2|00:00:06] - [00:47:50|288|40.0%] - RL update 2 with 163 samples: rho_crit=23.4122; v_free=132.595; v_free_tracking=132.601; weight_V=[1.00071 1.01607 1.00034 1.00032 1.00048 1.00318 1.00302 1.00274]; weight_L=[0.999089 0.999046 1.00011 0.994193 1.00011 1.01556]; weight_T=[0.999928 0.999958 1.00005 0.999756 1.00029 1.0008]; weight_rate_var=0.24; weight_slack_w_max=[2.40492 2.40936 2.41384 2.41838 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42 2.42]; 
[00:00:24|2|00:00:09] - [01:11:50|432|60.0%] - RL update 3 with 187 samples: rho_crit=23.3844; v_free=132.592; v_free_tracking=132.602; weight_V=[1.00092 1.02575 1.00053 1.00051 1.00078 1.00486 1.00459 1.00413]; weight_L=[0.998672 0.998764 1.00054 0.992536 1.0028 1.02708]; weight_T=[0.999901 0.999951 1.00009 0.999725 1.00057 1.00137]; weight_rate_var=0.34; weight_slack_w_max=[2.64541 2.6503 2.65522 2.66022 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662 2.662]; 
[00:00:27|2|00:00:11] - [01:35:50|576|80.0%] - RL update 4 with 211 samples: rho_crit=23.3603; v_free=132.589; v_free_tracking=132.602; weight_V=[1.00102 1.03384 1.00065 1.00064 1.001 1.00639 1.00602 1.0054]; weight_L=[0.99813 0.998446 1.00088 0.988942 1.00266 1.0351]; weight_T=[0.999868 0.999942 1.00013 0.99961 1.00073 1.0018]; weight_rate_var=0.44; weight_slack_w_max=[2.90995 2.91533 2.92074 2.92624 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282 2.9282]; 
[00:00:29|2|00:00:13] - [01:59:50|720|100.0%] - RL update 5 with 235 samples: rho_crit=23.3387; v_free=132.587; v_free_tracking=132.602; weight_V=[1.0011 1.0411 1.00075 1.00075 1.00119 1.00764 1.00719 1.00642]; weight_L=[0.997599 0.998119 1.00115 0.985713 1.00253 1.04225]; weight_T=[0.999837 0.999932 1.00016 0.999507 1.00087 1.00218]; weight_rate_var=0.54; weight_slack_w_max=[3.18557 3.19512 3.20472 3.21441 3.22056 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102 3.22102]; 
[00:00:29|2|00:00:13] - [01:59:50|720|100.0%] - episode 2: Jtot=143027.864, TTS=605.249, fails=0(0.0%)
[00:00:31|3|00:00:02] - [00:23:50|144|20.0%] - RL update 6 with 259 samples: rho_crit=23.3189; v_free=132.584; v_free_tracking=132.603; weight_V=[1.00119 1.04835 1.00088 1.00089 1.00141 1.00906 1.00853 1.00762]; weight_L=[0.997153 0.997853 1.00141 0.982901 1.00258 1.04905]; weight_T=[0.99981 0.999925 1.00019 0.999416 1.00101 1.00254]; weight_rate_var=0.64; weight_slack_w_max=[3.44943 3.46354 3.47771 3.49207 3.50288 3.50807 3.51281 3.5175 3.52223 3.527 3.53177 3.53655 3.54132 3.54312 3.54312 3.54312 3.54312 3.54312 3.54312 3.54312 3.54312 3.54312 3.54312 3.54312 3.54312]; 
[00:00:34|3|00:00:05] - [00:47:50|288|40.0%] - RL update 7 with 283 samples: rho_crit=23.2884; v_free=132.581; v_free_tracking=132.604; weight_V=[1.00126 1.06308 1.00112 1.00115 1.00179 1.01122 1.01056 1.00941]; weight_L=[0.996829 0.997665 1.00209 0.981071 1.0054 1.06369]; weight_T=[0.99979 0.999923 1.00026 0.999362 1.00134 1.00327]; weight_rate_var=0.74; weight_slack_w_max=[3.79437 3.80989 3.82548 3.84128 3.85317 3.85888 3.86409 3.86926 3.87445 3.8797 3.88495 3.89021 3.89546 3.89743 3.89743 3.89743 3.89743 3.89743 3.89743 3.89743 3.89743 3.89743 3.89743 3.89743 3.89743]; 
