# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:02|1|00:00:02] - [00:01:00|7|1.0%]
[00:00:04|1|00:00:04] - [00:02:00|13|1.8%]
[00:00:06|1|00:00:06] - [00:03:00|19|2.6%]
[00:00:08|1|00:00:08] - [00:04:00|25|3.5%]
[00:00:11|1|00:00:11] - [00:05:00|31|4.3%]
[00:00:13|1|00:00:13] - [00:06:00|37|5.1%]
[00:00:14|1|00:00:14] - [00:07:00|43|6.0%]
[00:00:16|1|00:00:16] - [00:08:00|49|6.8%]
[00:00:19|1|00:00:19] - [00:09:00|55|7.6%]
[00:00:20|1|00:00:20] - [00:10:00|61|8.5%]
[00:00:22|1|00:00:22] - [00:11:00|67|9.3%]
[00:00:24|1|00:00:24] - [00:12:00|73|10.1%]
[00:00:25|1|00:00:25] - [00:13:00|79|11.0%]
[00:00:27|1|00:00:27] - [00:14:00|85|11.8%]
[00:00:29|1|00:00:29] - [00:15:00|91|12.6%]
[00:00:31|1|00:00:31] - [00:16:00|97|13.5%]
[00:00:33|1|00:00:33] - [00:17:00|103|14.3%]
[00:00:35|1|00:00:35] - [00:18:00|109|15.1%]
[00:00:36|1|00:00:36] - [00:19:00|115|16.0%]
[00:00:39|1|00:00:39] - [00:20:00|121|16.8%]
[00:00:41|1|00:00:41] - [00:21:00|127|17.6%]
[00:00:43|1|00:00:43] - [00:22:00|133|18.5%]
[00:00:45|1|00:00:45] - [00:23:00|139|19.3%]
[00:00:47|1|00:00:47] - [00:24:00|145|20.1%]
[00:00:49|1|00:00:48] - [00:25:00|151|21.0%]
[00:00:51|1|00:00:51] - [00:26:00|157|21.8%]
[00:00:52|1|00:00:52] - [00:27:00|163|22.6%]
[00:00:54|1|00:00:54] - [00:28:00|169|23.5%]
[00:00:57|1|00:00:57] - [00:29:00|175|24.3%]
[00:00:59|1|00:00:59] - [00:30:00|181|25.1%]
[00:01:02|1|00:01:02] - [00:31:00|187|26.0%]
[00:01:06|1|00:01:06] - [00:32:00|193|26.8%]
[00:01:10|1|00:01:10] - [00:33:00|199|27.6%]
[00:01:13|1|00:01:13] - [00:34:00|205|28.5%]
[00:01:16|1|00:01:16] - [00:35:00|211|29.3%]
[00:01:19|1|00:01:19] - [00:36:00|217|30.1%]
[00:01:21|1|00:01:21] - [00:37:00|223|31.0%]
[00:01:23|1|00:01:23] - [00:38:00|229|31.8%]
[00:01:26|1|00:01:26] - [00:39:00|235|32.6%]
[00:01:29|1|00:01:29] - [00:40:00|241|33.5%]
[00:01:33|1|00:01:33] - [00:41:00|247|34.3%]
[00:01:41|1|00:01:41] - [00:42:00|253|35.1%]
[00:01:51|1|00:01:51] - [00:43:00|259|36.0%]
[00:02:00|1|00:02:00] - [00:44:00|265|36.8%]
[00:02:05|1|00:02:05] - [00:45:00|271|37.6%]
[00:02:44|1|00:02:44] - [00:46:00|277|38.5%]
[00:02:56|1|00:02:56] - [00:47:00|283|39.3%]
[00:03:01|1|00:03:01] - [00:48:00|289|40.1%]
[00:03:49|1|00:03:49] - [00:49:00|295|41.0%]
[00:04:08|1|00:04:08] - [00:50:00|301|41.8%]
[00:04:22|1|00:04:22] - [00:51:00|307|42.6%]
[00:04:43|1|00:04:43] - [00:52:00|313|43.5%]
[00:04:50|1|00:04:50] - [00:53:00|319|44.3%]
[00:04:59|1|00:04:59] - [00:54:00|325|45.1%]
[00:05:16|1|00:05:16] - [00:55:00|331|46.0%]
[00:05:27|1|00:05:27] - [00:56:00|337|46.8%]
[00:05:42|1|00:05:42] - [00:57:00|343|47.6%]
[00:05:50|1|00:05:50] - [00:58:00|349|48.5%]
[00:05:58|1|00:05:58] - [00:59:00|355|49.3%]
[00:06:34|1|00:06:34] - [01:00:00|361|50.1%]
[00:06:51|1|00:06:51] - [01:01:00|367|51.0%]
[00:06:59|1|00:06:59] - [01:02:00|373|51.8%]
