# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:00|1|00:00:00] - [00:01:00|7|1.0%] - dL_V=2.5701e-07, dL_Q=5.1996e-09 
[00:00:01|1|00:00:01] - [00:02:00|13|1.8%] - dL_V=9.2239e-08, dL_Q=6.0632e-08 
[00:00:01|1|00:00:01] - [00:03:00|19|2.6%] - dL_V=6.4106e-08, dL_Q=4.0467e-08 
[00:00:01|1|00:00:01] - [00:04:00|25|3.5%] - dL_V=1.6623e-07, dL_Q=1.8363e-08 
[00:00:02|1|00:00:02] - [00:05:00|31|4.3%] - dL_V=2.5969e-07, dL_Q=1.4694e-08 
[00:00:02|1|00:00:02] - [00:06:00|37|5.1%] - dL_V=2.1527e-07, dL_Q=5.8865e-08 
[00:00:03|1|00:00:03] - [00:07:00|43|6.0%] - dL_V=7.7382e-08, dL_Q=5.0262e-08 
[00:00:03|1|00:00:03] - [00:08:00|49|6.8%] - dL_V=1.2549e-07, dL_Q=3.2437e-09 
[00:00:03|1|00:00:03] - [00:09:00|55|7.6%] - dL_V=3.3085e-07, dL_Q=4.3887e-13 
[00:00:04|1|00:00:04] - [00:10:00|61|8.5%] - dL_V=3.6661e-08, dL_Q=7.2382e-08 
[00:00:04|1|00:00:04] - [00:11:00|67|9.3%] - dL_V=2.0383e-08, dL_Q=4.0702e-08 
[00:00:04|1|00:00:04] - [00:12:00|73|10.1%] - dL_V=6.8996e-08, dL_Q=2.0545e-08 
[00:00:04|1|00:00:04] - [00:13:00|79|11.0%] - dL_V=5.6866e-08, dL_Q=5.2732e-09 
[00:00:05|1|00:00:05] - [00:14:00|85|11.8%] - dL_V=1.6457e-07, dL_Q=5.2232e-08 
[00:00:05|1|00:00:05] - [00:15:00|91|12.6%] - dL_V=4.0710e-06, dL_Q=1.0417e-08 
[00:00:05|1|00:00:05] - [00:16:00|97|13.5%] - dL_V=1.9549e-06, dL_Q=1.4230e-08 
[00:00:06|1|00:00:06] - [00:17:00|103|14.3%] - dL_V=6.6352e-07, dL_Q=4.0959e-07 
[00:00:06|1|00:00:06] - [00:18:00|109|15.1%] - dL_V=1.9691e-06, dL_Q=5.0924e-13 
[00:00:06|1|00:00:06] - [00:19:00|115|16.0%] - dL_V=6.6923e-08, dL_Q=8.4048e-14 
[00:00:07|1|00:00:07] - [00:20:00|121|16.8%] - dL_V=1.1205e-06, dL_Q=4.3716e-13 
[00:00:07|1|00:00:07] - [00:21:00|127|17.6%] - dL_V=3.6202e-07, dL_Q=1.5378e-07 
[00:00:07|1|00:00:07] - [00:22:00|133|18.5%] - dL_V=2.3079e-07, dL_Q=1.0628e-07 
[00:00:08|1|00:00:08] - [00:23:00|139|19.3%] - dL_V=2.1134e-07, dL_Q=6.3613e-13 
[00:00:08|1|00:00:08] - [00:24:00|145|20.1%] - dL_V=4.5802e-07, dL_Q=4.5058e-13 
[00:00:08|1|00:00:08] - [00:25:00|151|21.0%] - dL_V=7.6361e-07, dL_Q=2.4583e-08 
[00:00:09|1|00:00:09] - [00:26:00|157|21.8%] - dL_V=2.9873e-07, dL_Q=5.3247e-13 
[00:00:09|1|00:00:09] - [00:27:00|163|22.6%] - dL_V=9.0359e-08, dL_Q=7.5882e-12 
[00:00:09|1|00:00:09] - [00:28:00|169|23.5%] - dL_V=3.2597e-08, dL_Q=8.9195e-07 
[00:00:10|1|00:00:10] - [00:29:00|175|24.3%] - dL_V=5.4329e-08, dL_Q=3.8937e-07 
[00:00:10|1|00:00:10] - [00:30:00|181|25.1%] - dL_V=2.9528e-07, dL_Q=2.7316e-07 
[00:00:18|1|00:00:18] - [00:31:00|187|26.0%] - dL_V=3.4786e-08, dL_Q=3.0700e-13 
[00:00:26|1|00:00:26] - [00:32:00|193|26.8%] - dL_V=1.5210e-06, dL_Q=2.8148e-07 
[00:00:32|1|00:00:32] - [00:33:00|199|27.6%] - dL_V=6.7981e-07, dL_Q=5.3845e-13 
[00:00:41|1|00:00:41] - [00:34:00|205|28.5%] - dL_V=2.8953e-07, dL_Q=3.6438e-06 
[00:00:51|1|00:00:51] - [00:35:00|211|29.3%] - dL_V=8.0056e-08, dL_Q=2.8583e-08 
