# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:58|1|00:00:58] - [00:01:00|7|1.0%] - dL_V=2.5701e-07, dL_Q=5.1993e-09 
[00:01:31|1|00:01:31] - [00:02:00|13|1.8%] - dL_V=9.2240e-08, dL_Q=2.9230e-08 
[00:01:54|1|00:01:54] - [00:03:00|19|2.6%] - dL_V=6.4106e-08, dL_Q=4.0467e-08 
[00:02:32|1|00:02:32] - [00:04:00|25|3.5%] - dL_V=1.4431e-07, dL_Q=8.2378e-09 
[00:03:02|1|00:03:02] - [00:05:00|31|4.3%] - dL_V=2.0239e-08, dL_Q=6.5547e-13 
[00:03:37|1|00:03:37] - [00:06:00|37|5.1%] - dL_V=3.6498e-13, dL_Q=4.3604e-10 
[00:04:21|1|00:04:21] - [00:07:00|43|6.0%] - dL_V=2.8646e-08, dL_Q=1.5256e-09 
[00:05:06|1|00:05:06] - [00:08:00|49|6.8%] - dL_V=2.8971e-07, dL_Q=3.2437e-09 
[00:05:50|1|00:05:50] - [00:09:00|55|7.6%] - dL_V=2.6720e-13, dL_Q=8.8202e-06 
[00:06:40|1|00:06:40] - [00:10:00|61|8.5%] - dL_V=4.1162e-07, dL_Q=7.5182e-09 
[00:07:06|1|00:07:06] - [00:11:00|67|9.3%] - dL_V=1.0916e-05, dL_Q=8.3310e-09 
[00:08:01|1|00:08:01] - [00:12:00|73|10.1%] - dL_V=5.2869e-08, dL_Q=4.4180e-09 
[00:08:59|1|00:08:59] - [00:13:00|79|11.0%] - dL_V=7.9167e-08, dL_Q=5.2732e-09 
[00:09:39|1|00:09:39] - [00:14:00|85|11.8%] - dL_V=6.0102e-08, dL_Q=4.3446e-13 
[00:10:42|1|00:10:42] - [00:15:00|91|12.6%] - dL_V=4.0710e-06, dL_Q=1.0417e-08 
[00:11:17|1|00:11:17] - [00:16:00|97|13.5%] - dL_V=2.4588e-05, dL_Q=1.4230e-08 
[00:11:59|1|00:11:59] - [00:17:00|103|14.3%] - dL_V=2.1155e-05, dL_Q=2.8891e-05 
[00:12:19|1|00:12:19] - [00:18:00|109|15.1%] - dL_V=5.7309e-05, dL_Q=8.3522e-05 
[00:13:25|1|00:13:25] - [00:19:00|115|16.0%] - dL_V=9.2428e-05, dL_Q=2.1316e-07 
[00:14:26|1|00:14:26] - [00:20:00|121|16.8%] - dL_V=3.4221e-05, dL_Q=6.7076e-05 
[00:14:39|1|00:14:39] - [00:21:00|127|17.6%] - dL_V=1.4616e-06, dL_Q=3.3566e-05 
[00:14:55|1|00:14:55] - [00:22:00|133|18.5%] - dL_V=1.2195e-04, dL_Q=2.6472e-04 
[00:15:09|1|00:15:09] - [00:23:00|139|19.3%] - dL_V=9.5048e-05, dL_Q=3.1137e-04 
[00:15:21|1|00:15:21] - [00:24:00|145|20.1%] - dL_V=9.6262e-05, dL_Q=2.0524e-04 
[00:15:33|1|00:15:33] - [00:25:00|151|21.0%] - dL_V=8.0404e-05, dL_Q=2.4461e-07 
[00:15:45|1|00:15:44] - [00:26:00|157|21.8%] - dL_V=3.1297e-12, dL_Q=4.6226e-05 
[00:16:00|1|00:16:00] - [00:27:00|163|22.6%] - dL_V=2.4731e-07, dL_Q=5.1477e-12 
[00:16:14|1|00:16:14] - [00:28:00|169|23.5%] - dL_V=1.4523e-08, dL_Q=1.8337e-12 
[00:16:53|1|00:16:53] - [00:29:00|175|24.3%] - dL_V=9.2018e-13, dL_Q=1.4319e-04 
[00:17:54|1|00:17:54] - [00:30:00|181|25.1%] - dL_V=1.7438e-08, dL_Q=3.1956e-07 
[00:18:32|1|00:18:32] - [00:31:00|187|26.0%] - dL_V=1.3333e-10, dL_Q=1.7062e-09 
[00:19:20|1|00:19:20] - [00:32:00|193|26.8%] - dL_V=7.1180e-12, dL_Q=1.0324e-10 
[00:19:51|1|00:19:51] - [00:33:00|199|27.6%] - dL_V=2.6029e-11, dL_Q=1.1345e-10 
[00:20:53|1|00:20:53] - [00:34:00|205|28.5%] - dL_V=1.4326e-07, dL_Q=2.4466e-12 
[00:21:33|1|00:21:33] - [00:35:00|211|29.3%] - dL_V=1.2606e-12, dL_Q=7.2042e-06 
[00:25:17|1|00:25:17] - [00:36:00|217|30.1%] - dL_V=7.4852e-06, dL_Q=4.7063e-10 
[00:25:54|1|00:25:54] - [00:37:00|223|31.0%] - dL_V=4.0692e-11, dL_Q=1.3933e-05 
[00:27:03|1|00:27:03] - [00:38:00|229|31.8%] - dL_V=1.4191e-12, dL_Q=6.7323e-10 
[00:27:31|1|00:27:31] - [00:39:00|235|32.6%] - dL_V=5.6972e-06, dL_Q=2.8862e-09
[00:29:07|1|00:29:07] - [00:40:00|241|33.5%] - dL_V=1.6310e-05, dL_Q=1.8792e-04 
[00:29:47|1|00:29:47] - [00:41:00|247|34.3%] - dL_V=2.9139e-01, dL_Q=7.6735e-06 
[00:30:26|1|00:30:26] - [00:42:00|253|35.1%] - dL_V=8.3836e-12, dL_Q=4.6995e-08 
[00:30:45|1|00:30:45] - [00:43:00|259|36.0%] - dL_V=5.2543e-11, dL_Q=1.3401e-04 
[00:31:07|1|00:31:07] - [00:44:00|265|36.8%] - dL_V=8.5754e-12, dL_Q=3.8776e-09 
[00:31:41|1|00:31:41] - [00:45:00|271|37.6%] - dL_V=7.4003e-05, dL_Q=1.2797e-04 
[00:32:12|1|00:32:12] - [00:46:00|277|38.5%] - dL_V=1.9810e-04, dL_Q=1.4540e-11 
[00:32:42|1|00:32:42] - [00:47:00|283|39.3%] - dL_V=8.3111e-12, dL_Q=1.4817e-09 
[00:33:06|1|00:33:06] - [00:48:00|289|40.1%] - dL_V=8.0135e-06, dL_Q=7.9123e-12 
[00:33:28|1|00:33:28] - [00:49:00|295|41.0%] - dL_V=1.3943e-11, dL_Q=1.3423e-05 
[00:33:53|1|00:33:53] - [00:50:00|301|41.8%] - dL_V=4.8939e-06, dL_Q=1.4508e-05 
[00:34:16|1|00:34:16] - [00:51:00|307|42.6%] - dL_V=3.8212e-09, dL_Q=4.6876e-09 
[00:35:03|1|00:35:03] - [00:52:00|313|43.5%] - dL_V=1.0236e-04, dL_Q=5.6086e-06 
[00:35:31|1|00:35:31] - [00:53:00|319|44.3%] - dL_V=1.4181e-05, dL_Q=3.3611e-05 
[00:35:50|1|00:35:50] - [00:54:00|325|45.1%] - dL_V=4.5353e-05, dL_Q=1.0862e-04 
[00:36:13|1|00:36:13] - [00:55:00|331|46.0%] - dL_V=1.1691e-03, dL_Q=9.4731e-06 
[00:36:36|1|00:36:36] - [00:56:00|337|46.8%] - dL_V=1.3224e-03, dL_Q=5.6439e-05 
[00:37:05|1|00:37:05] - [00:57:00|343|47.6%] - dL_V=2.0693e-03, dL_Q=1.2636e-06 
[00:41:21|1|00:41:21] - [00:58:00|349|48.5%] - dL_V=5.6361e-08, dL_Q=1.9305e-12 
