# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:04|1|00:00:04] - [00:01:00|7|1.0%] - dL_V=2.2474e-10, dL_Q=2.2476e-10 
[00:00:07|1|00:00:07] - [00:02:00|13|1.8%] - dL_V=2.2475e-10, dL_Q=2.2473e-10 
[00:00:09|1|00:00:09] - [00:03:00|19|2.6%] - dL_V=2.2474e-10, dL_Q=2.2476e-10 
[00:00:10|1|00:00:10] - [00:04:00|25|3.5%] - dL_V=2.2476e-10, dL_Q=2.2474e-10 
[00:00:12|1|00:00:12] - [00:05:00|31|4.3%] - dL_V=2.2475e-10, dL_Q=2.2476e-10 
[00:00:14|1|00:00:14] - [00:06:00|37|5.1%] - dL_V=2.2475e-10, dL_Q=2.2475e-10 
[00:00:15|1|00:00:15] - [00:07:00|43|6.0%] - dL_V=2.2475e-10, dL_Q=2.2475e-10 
[00:00:17|1|00:00:17] - [00:08:00|49|6.8%] - dL_V=2.2474e-10, dL_Q=2.2475e-10 
[00:00:18|1|00:00:18] - [00:09:00|55|7.6%] - dL_V=2.2473e-10, dL_Q=2.2474e-10 
[00:00:20|1|00:00:20] - [00:10:00|61|8.5%] - dL_V=2.2473e-10, dL_Q=2.2473e-10 
[00:00:22|1|00:00:22] - [00:11:00|67|9.3%] - dL_V=2.2474e-10, dL_Q=2.2473e-10 
[00:00:24|1|00:00:24] - [00:12:00|73|10.1%] - dL_V=2.2475e-10, dL_Q=2.2474e-10 
[00:00:26|1|00:00:26] - [00:13:00|79|11.0%] - dL_V=2.2475e-10, dL_Q=2.2475e-10 
[00:00:28|1|00:00:28] - [00:14:00|85|11.8%] - dL_V=2.2476e-10, dL_Q=2.2475e-10 
[00:00:29|1|00:00:29] - [00:15:00|91|12.6%] - dL_V=2.2477e-10, dL_Q=2.2476e-10 
[00:00:49|1|00:00:49] - [00:16:00|97|13.5%] - dL_V=2.1391e-02, dL_Q=2.2477e-10 V: Maximum_Iterations_Exceeded. 
[00:01:28|1|00:01:28] - [00:17:00|103|14.3%] - dL_V=3.7083e-03, dL_Q=2.8704e-03 V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:01:49|1|00:01:49] - [00:18:00|109|15.1%] - dL_V=2.2477e-10, dL_Q=4.9509e-03 Q: Maximum_Iterations_Exceeded.
[00:01:51|1|00:01:51] - [00:19:00|115|16.0%] - dL_V=2.2478e-10, dL_Q=2.2477e-10 
[00:01:52|1|00:01:52] - [00:20:00|121|16.8%] - dL_V=2.2479e-10, dL_Q=2.2480e-10 
[00:01:54|1|00:01:54] - [00:21:00|127|17.6%] - dL_V=2.2477e-10, dL_Q=2.2479e-10 
[00:01:55|1|00:01:55] - [00:22:00|133|18.5%] - dL_V=2.2462e-10, dL_Q=2.2480e-10 
[00:01:57|1|00:01:57] - [00:23:00|139|19.3%] - dL_V=2.2479e-10, dL_Q=2.2476e-10 
[00:01:59|1|00:01:59] - [00:24:00|145|20.1%] - dL_V=2.2477e-10, dL_Q=2.2480e-10 
[00:02:01|1|00:02:01] - [00:25:00|151|21.0%] - dL_V=2.2477e-10, dL_Q=2.2478e-10 
[00:02:03|1|00:02:03] - [00:26:00|157|21.8%] - dL_V=2.2477e-10, dL_Q=2.2479e-10 
[00:02:05|1|00:02:05] - [00:27:00|163|22.6%] - dL_V=2.2478e-10, dL_Q=2.2477e-10 
[00:02:25|1|00:02:25] - [00:28:00|169|23.5%] - dL_V=2.2480e-10, dL_Q=2.0948e+00 Q: Maximum_Iterations_Exceeded.
[00:02:27|1|00:02:27] - [00:29:00|175|24.3%] - dL_V=2.2479e-10, dL_Q=2.2479e-10 
[00:02:49|1|00:02:49] - [00:30:00|181|25.1%] - dL_V=6.9586e-01, dL_Q=2.2476e-10 V: Maximum_Iterations_Exceeded. 
[00:03:30|1|00:03:30] - [00:31:00|187|26.0%] - dL_V=8.4459e-01, dL_Q=5.3169e-01 V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:04:12|1|00:04:12] - [00:32:00|193|26.8%] - dL_V=3.3484e-01, dL_Q=8.0912e-01 V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:04:54|1|00:04:54] - [00:33:00|199|27.6%] - dL_V=1.1001e+00, dL_Q=2.2479e-10 V: Maximum_Iterations_Exceeded. 
[00:05:33|1|00:05:33] - [00:34:00|205|28.5%] - dL_V=1.3373e-01, dL_Q=2.3414e-01 V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:06:11|1|00:06:11] - [00:35:00|211|29.3%] - dL_V=3.9060e+00, dL_Q=9.3515e-02 V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:06:38|1|00:06:38] - [00:36:00|217|30.1%] - dL_V=4.8935e-01, dL_Q=2.2478e-10 V: Maximum_Iterations_Exceeded. 
[00:07:09|1|00:07:09] - [00:37:00|223|31.0%] - dL_V=8.7080e-01, dL_Q=2.2478e-10 V: Maximum_Iterations_Exceeded. 
[00:07:45|1|00:07:45] - [00:38:00|229|31.8%] - dL_V=2.2479e-10, dL_Q=9.0706e-02 Q: Maximum_Iterations_Exceeded.
[00:08:01|1|00:08:01] - [00:39:00|235|32.6%] - dL_V=2.2477e-10, dL_Q=2.2477e-10 
[00:08:40|1|00:08:40] - [00:40:00|241|33.5%] - dL_V=1.1355e+03, dL_Q=4.1975e+03 V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
