# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:50|1|00:00:50] - [00:01:00|7|1.0%] - dL_V=2.2993e-10, dL_Q=2.2412e-10 
[00:00:53|1|00:00:53] - [00:02:00|13|1.8%] - dL_V=2.2450e-10, dL_Q=2.2413e-10 
[00:00:56|1|00:00:56] - [00:03:00|19|2.6%] - dL_V=2.7210e-10, dL_Q=2.2416e-10 
[00:00:58|1|00:00:58] - [00:04:00|25|3.5%] - dL_V=2.2413e-10, dL_Q=2.2414e-10 
[00:01:01|1|00:01:01] - [00:05:00|31|4.3%] - dL_V=2.2416e-10, dL_Q=2.2413e-10 
[00:01:03|1|00:01:03] - [00:06:00|37|5.1%] - dL_V=2.2679e-10, dL_Q=2.2418e-10 
[00:01:05|1|00:01:05] - [00:07:00|43|6.0%] - dL_V=2.2414e-10, dL_Q=2.2414e-10 
[00:01:08|1|00:01:08] - [00:08:00|49|6.8%] - dL_V=2.2419e-10, dL_Q=2.2416e-10 
[00:01:10|1|00:01:10] - [00:09:00|55|7.6%] - dL_V=2.2797e-10, dL_Q=2.2416e-10 
[00:01:12|1|00:01:12] - [00:10:00|61|8.5%] - dL_V=2.2414e-10, dL_Q=2.2418e-10 
[00:01:14|1|00:01:14] - [00:11:00|67|9.3%] - dL_V=2.3242e-10, dL_Q=2.2412e-10 
[00:01:17|1|00:01:17] - [00:12:00|73|10.1%] - dL_V=2.2419e-10, dL_Q=2.2414e-10 
[00:01:19|1|00:01:19] - [00:13:00|79|11.0%] - dL_V=2.2419e-10, dL_Q=2.2417e-10 
[00:01:22|1|00:01:22] - [00:14:00|85|11.8%] - dL_V=2.2553e-10, dL_Q=2.2416e-10 
[00:01:24|1|00:01:24] - [00:15:00|91|12.6%] - dL_V=6.9086e-10, dL_Q=2.2417e-10 
[00:01:58|1|00:01:58] - [00:16:00|97|13.5%] - dL_V=1.1644e+01, dL_Q=2.2446e-10 V: Maximum_Iterations_Exceeded. 
[00:03:05|1|00:03:05] - [00:17:00|103|14.3%] - dL_V=2.7245e-02, dL_Q=1.2109e-02 V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:04:02|1|00:04:02] - [00:18:00|109|15.1%] - dL_V=4.0517e-03, dL_Q=2.1053e-02 V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
